name,rating,address,review,Log_and_Lat
Svenska Design Hotels,3.7,"56D, 5, opposite Wipro Avenue, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100","(2,048)","12.838322,77.5785072"
Treebo Trend Yc Grand Boutique,4.4,"1st cross road, neeladri nagar Site no 295, Wipro gate 16, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",(500),"12.838322,77.5785072"
Gold Coins Club & Resort,4.0,"No.45/1, Andapura, Off Huskur Road Electronics City Phase II, Anekal, Taluk, Bengaluru, Karnataka 560100","(3,550)","12.8284934,77.6300851"
Prestige Garden - Estate Club & Resort,3.8,"Next to Smilee Green, 19th km Off Hosur Road, Goolimangala, village, Huskur Rd, Electronic City, Bengaluru, Karnataka 560099","(1,287)","12.8284934,77.6300851"
Adventure village resort- Best Resorts in Bangalore,3.8,"Electronic city phash 2,Goolimangala village, Hoskur gate, Bengaluru, Karnataka 560099",(68),"12.8284934,77.6300851"
GoRooms Online,NULL,"229, Naidu Layout Silicon Town, Shantipura Main Rd, Phase 2, Bengaluru, Karnataka 560100",NULL,"12.8284934,77.6300851"
Happy Home Resort,3.8,"Electronic City - Jigani Link Rd Suryanagar Phase I Nanjapura Anekal, Bengaluru, Karnataka 560105","(1,073)","12.8032704,77.5658513"
Lake views Resort,4.3,"Bingipura, lake, Electronic City, Bengaluru, Karnataka 560105",(143),"12.8032704,77.5658513"
VRR Astoria Resort & Convention Center,4.4,"Block-33, VRR GOLDEN ENCLAVE, Electronic City, Bommasandra, Karnataka 560105",(122),"12.8032704,77.5658513"
Lago Palms Resort,3.9,"Sy. No. 212, Bettadasanapura, jigani hobli, Bangalor, Bettadasanapura, S.Bingipura, Karnataka 560105",(741),"12.8032704,77.5658513"
Sai Vishram Business Hotel,4.4,"Hebbagodi, 144-C/1, Kirloskar Road, Opp MTR, Bommasandra Industrial Area, Bengaluru, Karnataka 560099","(6,139)","12.8245663,77.6090067"
Coastal Grand Hotels & Resorts,5.0,"Silicon Town,2ndPhase, Electronic City, Bengaluru, Karnataka 560100",(2),"12.8245663,77.6090067"
THANISHQ GRANDE HOTELS AND RESORTS PVT LTD,4.4,"Bommasandra Industrial Area, Bommasandra, Karnataka 560099",(9),"12.8245663,77.6090067"
My Resort,3.6,"#67A Jigani Link Road Nanjapura Village, Jigani Hobli Meenakshi medows, Electronic City Phase I, Bengaluru, Karnataka 560105",(175),"12.8033485,77.5659508"
The Meenakshi Resorts,3.5,"Sy No 61/2B Nanjapura Village, Jigani Hobli Anekal, Taluk, Bengaluru, Karnataka 560105",(826),"12.8033485,77.5659508"
