name,rating,address,review,Log_and_Lat
Flechazo Marathahalli,4.0,"Sy No. 9/1, 2nd Floor, VRR Orchid, above Surya Nissan, Brindavan Extension, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560048","(17,093)","12.97434,77.6793296"
Flechazo Marathahalli,4.0,"Sy No. 9/1, 2nd Floor, VRR Orchid, above Surya Nissan, Brindavan Extension, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560048","(17,093)","12.97434,77.6793296"
Shahi Kadaai Restaurant,4.4,"Anand Nagar, Sanjay Nagar, Marathahalli, Bengaluru, Karnataka 560037","(1,260)","12.97434,77.6793296"
"Dhaba Estd 1986 Delhi, Marathahalli",3.9,"NTR Royal Plaza, 89/1, N Thimmareddy Building, road, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037","(5,106)","12.9494632,77.6811342"
The Big Barbeque - Bengaluru - Marathahalli,4.2,"88, 2nd Floor, Outer Ring Rd, near More Supermarket, Marathahalli, Bengaluru, Karnataka 560037","(7,566)","12.9494632,77.6811342"
Shanmukha Restaurant,3.5,"93/7, CN Reddy Plaza, Near Home Town, Outer Ring Road, Munnekolahu, Marathahalli, Bengaluru, Karnataka 560037","(2,710)","12.9494632,77.6811342"
Meghana Foods Marathalli,4.1,"Meghana Foods Next ICICI Bank Building, 90/4, Marathahalli - Sarjapur Outer Ring Rd, Kasavanahalli Village, Marathahalli, Bengaluru, Karnataka 560037","(20,768)","12.9494632,77.6811342"
Thalassery Restaurant Marathahalli,3.6,"Marathahalli Main Rd, Chandra Layout, Marathahalli, Bengaluru, Karnataka 560037","(5,923)","12.9494632,77.6811342"
Nandhana Palace - Andhra Style - Marathahalli,4.0,"1st Floor, Outer Ring Rd, next to Relince Fresh, Kasavanahalli Village, Marathahalli, Bengaluru, Karnataka 560037","(7,061)","12.9494632,77.6811342"
Nagarjuna,4.0,"Mega Store, 88, Outer Ring Rd, next to More, Marathahalli, Bengaluru, Karnataka 560037","(21,815)","12.9494632,77.6811342"
"Biryani Zone, Marathahalli, , Hyderabadi Dum Biryani Restaurant",4.0,"92, 5, Marathahalli - Sarjapur Outer Ring Rd, CKB Layout, Chandra Layout, Marathahalli, Bengaluru, Karnataka 560037","(10,385)","12.9494632,77.6811342"
Spicy House Restaurant,3.6,"Between 7th and, Opposite Salarpuria supreme back gate Tulasi Theatre Road, 8th Main Rd, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037","(1,195)","12.9494632,77.6811342"
Melange - Radisson Blu Bengaluru,4.3,"90/4, Outer Ring Rd, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037","(3,023)","12.9494632,77.6811342"
"Foxtrot, Marathahalli",4.0,"Building, 4th Floor, NTR Royal Plaza, Home, Outer Ring Rd, Marathahalli, Bengaluru, Karnataka 560037","(5,301)","12.9494632,77.6811342"
Nakkshatra Bar | Grill | Kitchen,4.2,"No. 88, 1st Floor, next to More Mega Store, Marathahalli, Bengaluru, Karnataka 560037","(3,407)","12.9494632,77.6811342"
7,3.9,"1st Floor, 88, Marathahalli - Sarjapur Outer Ring Rd, Kasavanahalli Village, Marathahalli, Bengaluru, Karnataka 560037","(5,350)","12.9494632,77.6811342"
Barkaas,4.1,"90/2, first floor, Krishna icon, next to Innovative multiplex, Marathahalli, Bengaluru, Karnataka 560037","(3,904)","12.9494632,77.6811342"
Dindigul Thalappakatti - Marathahalli,4.0,"88, Marathahalli - Sarjapur Outer Ring Rd, Kasavanahalli Village, Marathahalli, Bengaluru, Karnataka 560037","(2,597)","12.9494632,77.6811342"
Singhz The Punjabi Cuisine Restaurant,4.0,"1st Floor, Flv Plaza, Above Bank Of Baroda, Kundanhalli Gate, Marathahalli, Bengaluru, Karnataka 560037",(5),"12.9494632,77.6811342"
Yo! Chow,4.0,"90/3,Sri Sapthagiri Complex - Sarjapur Outer Ring Road, Marathahalli,Opp to Innovative Multiplex, Bengaluru, Karnataka 560037","(2,605)","12.9494632,77.6811342"
Narmada Restaurant Marathahalli,4.7,"88, Outer Ring Rd, opp. to MORE MEGA, Kasavanahalli Village, Marathahalli, Bengaluru, Karnataka 560037",(966),"12.9494632,77.6811342"
BIRYANI DAY,3.5,"#389/2,7th Cross, Tulsi Theater Rd, Marathahalli, Bengaluru, Karnataka 560037","(1,235)","12.9494632,77.6811342"
Chinese Wok - Marathahalli,3.2,"Service Rd, Anand Nagar, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037",(164),"12.9494632,77.6811342"
Eat Well Restaurant,3.4,"Kasavanahalli Village, Marathahalli, Bengaluru, Karnataka 560037",(376),"12.9494632,77.6811342"
Nizam's Biryani House,3.9,"GP Plaza, No. 83, Service Rd, near Kalamandir, Marathahalli, Bengaluru, Karnataka 560037","(3,191)","12.9494632,77.6811342"
Kritunga Restaurant,3.8,"Venkatadri Plaza, 3rd Floor, 88, Outer Ring Rd, above Elite Ford, Kasavanahalli Village, Marathahalli, Bengaluru, Karnataka 560037","(11,557)","12.9494632,77.6811342"
Sai Meghana Restaurant,4.1,"XM4X+54M, Tulsi Theater Rd, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037",(31),"12.9494632,77.6811342"
Suchithra Biriyani,4.0,"Whitefield Mainroad, 350, Service Rd, opp. Safal Daily Fresh Flyover, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037","(2,768)","12.9494632,77.6811342"
ODIANS Restaurant,3.7,"Tulsi Theater Rd, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037",(368),"12.9494632,77.6811342"
Basha,3.2,"XP43+R3F, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037",(225),"12.9494632,77.6811342"
